Timestamp,Timestamp (ISO 8601),X,Y,Page
1763286248.787674,2025-11-16T15:14:08.787673,391,285,instructions_page_0
1763286248.866139,2025-11-16T15:14:08.866138,471,174,instructions_page_0
1763286248.913888,2025-11-16T15:14:08.913888,312,271,instructions_page_0
1763286248.959860,2025-11-16T15:14:08.959859,405,221,instructions_page_0
1763286248.991372,2025-11-16T15:14:08.991372,384,233,instructions_page_0
1763286249.038777,2025-11-16T15:14:09.038777,452,398,instructions_page_0
1763286249.085223,2025-11-16T15:14:09.085222,291,236,instructions_page_0
1763286249.116321,2025-11-16T15:14:09.116321,309,299,instructions_page_0
1763286249.163690,2025-11-16T15:14:09.163690,348,454,instructions_page_0
1763286249.210881,2025-11-16T15:14:09.210880,216,514,instructions_page_0
1763286249.274131,2025-11-16T15:14:09.274131,319,640,instructions_page_0
1763286249.319231,2025-11-16T15:14:09.319230,270,693,instructions_page_0
1763286249.367102,2025-11-16T15:14:09.367102,300,714,instructions_page_0
1763286249.411306,2025-11-16T15:14:09.411305,253,625,instructions_page_0
1763286249.536406,2025-11-16T15:14:09.536406,237,892,instructions_page_0
1763286249.597920,2025-11-16T15:14:09.597920,233,897,instructions_page_0
1763286249.660023,2025-11-16T15:14:09.660023,217,904,instructions_page_0
1763286249.706913,2025-11-16T15:14:09.706912,213,934,instructions_page_0
1763286249.750659,2025-11-16T15:14:09.750659,212,961,instructions_page_0
1763286249.800564,2025-11-16T15:14:09.800564,225,918,instructions_page_0
1763286249.848463,2025-11-16T15:14:09.848463,259,952,instructions_page_0
1763286249.895225,2025-11-16T15:14:09.895225,266,1054,instructions_page_0
1763286249.925985,2025-11-16T15:14:09.925984,260,1033,instructions_page_0
1763286249.973583,2025-11-16T15:14:09.973583,266,825,instructions_page_0
1763286250.018964,2025-11-16T15:14:10.018964,209,1044,instructions_page_0
1763286250.820611,2025-11-16T15:14:10.820610,694,1080,instructions_page_0
1763286250.868334,2025-11-16T15:14:10.868333,721,1080,instructions_page_0
1763286250.914957,2025-11-16T15:14:10.914956,746,1080,instructions_page_0
1763286250.992883,2025-11-16T15:14:10.992882,693,1056,instructions_page_0
1763286251.056634,2025-11-16T15:14:11.056634,663,1075,index_page_1
1763286251.118411,2025-11-16T15:14:11.118410,678,1080,index_page_1
1763286251.165359,2025-11-16T15:14:11.165358,620,1080,index_page_1
1763286251.211363,2025-11-16T15:14:11.211363,649,1080,index_page_1
1763286251.273945,2025-11-16T15:14:11.273944,240,960,index_page_1
1763286251.319465,2025-11-16T15:14:11.319465,290,981,index_page_1
1763286251.364957,2025-11-16T15:14:11.364957,311,966,index_page_1
1763286251.413901,2025-11-16T15:14:11.413900,253,919,index_page_1
1763286251.538499,2025-11-16T15:14:11.538499,188,769,index_page_1
1763286251.600965,2025-11-16T15:14:11.600964,254,786,index_page_1
1763286251.653703,2025-11-16T15:14:11.653703,256,832,index_page_1
1763286251.699036,2025-11-16T15:14:11.699036,271,738,index_page_1
1763286251.741692,2025-11-16T15:14:11.741692,251,790,index_page_1
1763286251.787054,2025-11-16T15:14:11.787054,280,733,index_page_1
1763286251.832995,2025-11-16T15:14:11.832994,591,268,index_page_1
1763286251.881030,2025-11-16T15:14:11.881029,608,280,index_page_1
1763286251.925706,2025-11-16T15:14:11.925706,610,299,index_page_1
1763286251.973955,2025-11-16T15:14:11.973954,622,309,index_page_1
1763286252.065904,2025-11-16T15:14:12.065904,681,489,index_page_1
1763286252.127788,2025-11-16T15:14:12.127788,708,437,index_page_1
1763286252.193223,2025-11-16T15:14:12.193223,750,1022,index_page_1
1763286252.265809,2025-11-16T15:14:12.265808,772,946,index_page_1
1763286252.317220,2025-11-16T15:14:12.317220,766,976,index_page_1
1763286252.363919,2025-11-16T15:14:12.363918,400,1000,index_page_1
1763286252.473879,2025-11-16T15:14:12.473878,38,903,index_page_1
1763286252.521599,2025-11-16T15:14:12.521598,27,979,index_page_1
1763286252.599359,2025-11-16T15:14:12.599359,25,1046,index_page_1
1763286252.642872,2025-11-16T15:14:12.642872,23,1033,index_page_1
1763286252.709784,2025-11-16T15:14:12.709784,16,1048,index_page_1
1763286252.755929,2025-11-16T15:14:12.755929,33,943,index_page_1
1763286253.531578,2025-11-16T15:14:13.531577,99,777,index_page_1
1763286253.579369,2025-11-16T15:14:13.579369,107,823,index_page_1
1763286253.626509,2025-11-16T15:14:13.626508,118,799,index_page_1
1763286253.669910,2025-11-16T15:14:13.669909,109,805,index_page_1
1763286253.734967,2025-11-16T15:14:13.734967,152,552,index_page_1
1763286253.781374,2025-11-16T15:14:13.781373,188,525,index_page_1
1763286253.827358,2025-11-16T15:14:13.827358,187,480,index_page_1
1763286253.873669,2025-11-16T15:14:13.873668,173,484,index_page_1
1763286253.920244,2025-11-16T15:14:13.920244,181,480,index_page_1
1763286253.966226,2025-11-16T15:14:13.966226,78,417,index_page_1
1763286254.060774,2025-11-16T15:14:14.060774,139,281,index_page_1
1763286254.108129,2025-11-16T15:14:14.108128,104,395,index_page_1
1763286254.202145,2025-11-16T15:14:14.202145,155,407,index_page_1
1763286254.249425,2025-11-16T15:14:14.249424,97,385,index_page_1
1763286254.297204,2025-11-16T15:14:14.297203,131,425,index_page_1
1763286254.343977,2025-11-16T15:14:14.343977,142,355,index_page_1
1763286254.498960,2025-11-16T15:14:14.498960,120,383,index_page_1
1763286254.545470,2025-11-16T15:14:14.545469,102,446,index_page_1
1763286254.623911,2025-11-16T15:14:14.623911,112,405,index_page_1
1763286254.684196,2025-11-16T15:14:14.684195,108,422,index_page_1
1763286254.730361,2025-11-16T15:14:14.730361,120,488,index_page_1
1763286254.778210,2025-11-16T15:14:14.778209,98,368,index_page_1
1763286254.889930,2025-11-16T15:14:14.889930,121,347,index_page_1
1763286254.934006,2025-11-16T15:14:14.934005,144,308,index_page_1
1763286254.996927,2025-11-16T15:14:14.996927,166,434,index_page_1
1763286255.046527,2025-11-16T15:14:15.046526,191,413,index_page_1
1763286255.107866,2025-11-16T15:14:15.107865,191,415,index_page_1
1763286255.153773,2025-11-16T15:14:15.153772,154,332,index_page_1
1763286255.263368,2025-11-16T15:14:15.263367,167,343,index_page_1
1763286255.309260,2025-11-16T15:14:15.309260,199,375,index_page_1
1763286255.402998,2025-11-16T15:14:15.402997,156,202,index_page_1
1763286255.453719,2025-11-16T15:14:15.453718,151,230,index_page_1
1763286255.496676,2025-11-16T15:14:15.496676,153,239,index_page_1
1763286255.544614,2025-11-16T15:14:15.544614,192,250,index_page_1
1763286255.590658,2025-11-16T15:14:15.590658,222,293,index_page_1
1763286255.637367,2025-11-16T15:14:15.637367,265,219,index_page_1
1763286255.684229,2025-11-16T15:14:15.684228,254,238,index_page_1
1763286255.729617,2025-11-16T15:14:15.729617,193,273,index_page_1
1763286255.776043,2025-11-16T15:14:15.776043,168,160,index_page_1
